,Nombre,Latitud,Longitud
0,Monasterio de Santa Catalina ,-16.3952829,-71.53679079999999
1,Plaza de Armas de Arequipa,-16.39849621136111, -71.53682895234468
2,Basílica Catedral de Arequipa y Museo,-16.3981179,-71.5366937
3,Museo Santuarios Andinos de la Universidad Católica Santa María,-16.3996223,-71.5375081
4,Iglesia y Claustros de la Compañía,-16.4001903,-71.53632429999999
5,Museo de Arte Virreinal de Santa Teresa,-16.3966123,-71.531111
6,Convento - Museo La Recoleta,-16.3938973,-71.5414929
7,Casa Goyeneche,-16.4001371,-71.5384851
8,Casa del Moral,-16.3969263,-71.5378061
9,Barrio de San Lázaro,-16.3931529,-71.5341894
10,Museo Arqueológico San Agustín,-16.400541096612887, -71.53692054549417
11,Museo de Arte Contemporáneo de Arequipa,-16.3931884,-71.5348767
12,Museo Histórico Municipal Guillermo Zegarra Meneses,-16.3947946,-71.53553629999999
13,Cataratas de Panahua,-15.361032116525418, -72.29161802038233
14,Mirador de Yanahuara,-16.3874759,-71.5417274
15,Mirador de Sachaca,-16.4262814,-71.5674416
16,Mirador de Carmen Alto,-16.3698644,-71.5365599
17,Molino de Sabandía,-16.4567451,-71.49957979999999
18,Mansión del Fundador,-16.4642351,-71.5573514
19,Baños Termales de Yura,-16.2458375,-71.6954312
20,Petroglifos de Toro Muerto,-16.2251959,-72.499777
21,Parque Jurásico de Querullpa,-16.1612734,-72.49016300000001
22,Río Majes,-15.6320052,-71.7796469
23,Lagunas de Pucchún,-16.600173956500914, -72.77220404093003
24,Caleta del Inca,-16.5140995,-72.9765056
25,Museo de Chiribaya,-17.6230741,-71.2687674
26,Museo de la Catedral,-16.39810470382719, -71.53637047300623
27,Casa Tristán del Pozo,-16.398064023487102, -71.53598949994716